title,author,first_name,last_name,genre,series,description,publish_date,publisher,ean_isbn,upc_isbn,pages,ddc,cover_style,sprayed_edges,special_ed,first_ed,signed,location
Assistant to the Villain,Hannah Nicole Maehrer,Hannah,Maehrer,Fantasy / Romance,"Assistant to the Villain, Book 1","ASSISTANT WANTED...Notorious, high-ranking villain seeks loyal, unperturbable assistant for general office duties, admin work, and supporting staff for mayhem, terror, and Dark Things In General. Discretion necessary under pain of death. Excellent benefits.Evie Sage has been working for the Villain for exactly five months. She thought that being the assistant for Rennedawn's lord of darkness might make her a little more, yunno, evil. Instead, she's getting used to suspended severed heads, the screams of fear, and the odd squish of an errant eyeball beneath her heel.Of course, no job is perfect, especially when you have a teeeeny crush on your terrifying, temperamental, and undeniably hot boss. Don't find evil so attractive, Evie.Only something is rotten is growing in the kingdom of Rennedawn. Someone wants to take the Villain - and his entire nefarious empire - out. Now Evie is determined to figure out exactly who is sabotaging her boss, and ensure he makes them pay.After all, a good job is hard to find.And the monsters that we should fear aren?t the ones that live in the light - but the ones who hide in the shadows.",2023-09-05,Entangled: Red Tower Books,9781649375803,1649375808,352,FIC MAE,paperback,0,0,0,0,
Assistant to the Villain,Hannah Nicole Maehrer,Hannah,Maehrer,Fantasy / Romance,"Assistant to the Villain, Book 1","ASSISTANT WANTED...Notorious, high-ranking villain seeks loyal, unperturbable assistant for general office duties, admin work, and supporting staff for mayhem, terror, and Dark Things In General. Discretion necessary under pain of death. Excellent benefits.Evie Sage has been working for the Villain for exactly five months. She thought that being the assistant for Rennedawn's lord of darkness might make her a little more, yunno, evil. Instead, she's getting used to suspended severed heads, the screams of fear, and the odd squish of an errant eyeball beneath her heel.Of course, no job is perfect, especially when you have a teeeeny crush on your terrifying, temperamental, and undeniably hot boss. Don't find evil so attractive, Evie.Only something is rotten is growing in the kingdom of Rennedawn. Someone wants to take the Villain - and his entire nefarious empire - out. Now Evie is determined to figure out exactly who is sabotaging her boss, and ensure he makes them pay.After all, a good job is hard to find.And the monsters that we should fear aren?t the ones that live in the light - but the ones who hide in the shadows.",2023-09-05,Entangled: Red Tower Books,9781649375803,1649375808,352,FIC MAE,paperback,1,0,1,0,
Hunting Prince Dracula ,Kerri Maniscalco,Kerri,Maniscalco,Historical Fiction / YA,"Stalking Jack the Ripper, Book 2","In this New York Times bestselling thriller, bizarre murders are discovered in the castle of Prince Vlad the Impaler, otherwise known as Dracula. Could it be a copycat killer...or has the depraved prince been brought back to life? FEATURES BONUS CONTENT EXCLUSIVE TO THIS PAPERBACK EDITION!Following the grief and horror of her discovery of Jack the Ripper's true identity, Audrey Rose Wadsworth has no choice but to flee London and its memories. Together with the arrogant yet charming Thomas Cresswell, she journeys to the dark heart of Romania, home to one of Europe's best schools of forensic medicine...and to another notorious killer, Vlad the Impaler, whose thirst for blood became legend. But her life's dream is soon tainted by blood-soaked discoveries in the halls of the school's forbidding castle, and Audrey Rose is compelled to investigate the strangely familiar murders. What she finds brings all her terrifying fears to life once again.EXCLUSIVE TO THIS EDITION: Bonus letters between characters, revealing intimate content never previously available!",2018-09-04,Jimmy Patterson,9780316551670,316551678,480,FIC MAN,paperback,0,0,1,0,
The World of Ice and Fire: The Official History of Westeros and The World of A Game of Thrones,"George R.R. Martin, Elio Garcia, Linda Antonsson",George,Martin,,,"A lavishly illustrated guide to the A Song of Ice and Fire universe traces the pre-historical period and the coming of the First Men through the reign of the Targaryen kings and Robert's Rebellion. 75,000 first printing. TV tie-in.",2013-10-29,Bantam,9780553805444,553805444,288,,hardcover,0,1,1,0,
To Cage a God,Elizabeth May,Elizabeth,May,,n/a?,,,,,,,,hardcover,1,1,1,1,
Peter Pan in Scarlet,Geraldine McCaughrean,Geraldine,McCaughrean,,,"The first-ever authorized sequel to J. M. Barrie&#039;s Peter Pan!  In August 2004 the Special Trustees of Great Ormond Street Children&#039;s Hospital, who hold the copyright in Peter Pan, launched a worldwide search for a writer to create a sequel to J. M. Barrie&#039;s timeless masterpiece. Renowned and multi award-winning English author Geraldine McCaughrean won the honor to write this official sequel, Peter Pan in Scarlet. Illustrated by Scott M. Fischer and set in the 1930s, Peter Pan in Scarlet takes readers flying back to Neverland in an adventure filled with tension, danger, and swashbuckling derring-do!",2006-10-05,Margaret K. McElderry Books,9781416918080,1416918086,320,,hardcover,0,0,1,0,
The Random House Book of Stories from the Ballet,Geraldine McCaughrean,Geraldine,McCaughrean,,,"&quot;In this attractive book, ten of the world&#039;s best-known ballets, including The Sleeping Beauty, The Nutcracker, Romeo and Juliet, and Cinderella, are introduced to young readers.&nbsp;&nbsp;The essence of a ballet production is successfully captured by the full-color illustrations, which exuberantly portray each story&#039;s setting, and the writing style, which maintains the original flavor of both the tales and ballets.&nbsp;&nbsp;Children who love to attend ballets, take ballet lessons, or like to read fairy tales will delight in this treasury.&quot;--Booklist&nbsp;&nbsp;There is no more elegant or comprehensive introduction to the ballet than this enchanting book.&nbsp;&nbsp;",1995-08-08,Random House Books for Young Readers,9780679871255,67987125,112,,hardcover,0,0,1,0,
The Adventure Zone: Here There Be Gerblins,"Clint McElroy, Griffin McElroy, Justin McElroy, Travis McElroy, Carey Pietsch",Clint,McElroy,,,"Welcome to the Adventure Zone! SEE! The illustrated exploits of three lovable dummies set loose in a classic fantasy adventure! READ! Their journey from small-time bodyguards to world-class artifact hunters! MARVEL! At the sheer metafictional chutzpah of a graphic novel based on a story created in a podcast where three dudes and their dad play a tabletop role playing game in real time! Join Taako the elf wizard, Merle the dwarf cleric, and Magnus the human warrior for an adventure they are poorly equipped to handle AT BEST, guided (""guided"") by their snarky DM, in a graphic novel that, like the smash-hit podcast it's based on, will tickle your funny bone, tug your heartstrings, and probably pants you if you give it half a chance. With endearingly off-kilter storytelling from master goofballs Clint McElroy and the McElroy brothers, and vivid, adorable art by Carey Pietsch, The Adventure Zone: Here There be Gerblins is the comics equivalent of role-playing in your friend's basement at 2am, eating Cheetos and laughing your ass off as she rolls critical failure after critical failure.",2018-07-17,First Second,9781250153708,1250153700,256,,paperback,0,0,1,0,
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,Robin,McKinley,,,"A strange imprisonmentBeauty has never liked her nickname. She is thin and awkward; it is her two sisters who are the beautiful ones. But what she lacks in looks, she can perhaps make up for in courage.When her father comes home with the tale of an enchanted castle in the forest and the terrible promise he had to make to the Beast who lives there, Beauty knows she must go to the castle, a prisoner of her own free will. Her father protests that he will not let her go, but she answers, &quot;Cannot a Beast be tamed?&quot;Robin McKinley&#039;s beloved telling illuminates the unusual love story of a most unlikely couple: Beauty and the Beast.",1978-10-25,HarperCollins,9780060241490,60241497,256,,hardcover,0,0,0,0,
I am Jane Goodall (Ordinary People Change the World),Brad Meltzer,Brad,Meltzer,,,"We can all be heroes. That’s the inspiring message of this New York Times bestselling picture book biography series from historian and author Brad Meltzer. Learn all about Jane Goodall, the chimpanzee scientist. Each picture book in this series is a biography of a significant historical figure, told in a simple, conversational, vivacious way, and always focusing on a character trait that makes the person a role model for kids. The heroes are depicted as children throughout, telling their life stories in first-person present tense, which keeps the books playful and accessible to young children. And each book ends with a line of encouragement, a direct quote, photos, a timeline, and a source list. This tenth book in the series features Jane Goodall, the scientist and conservationist who is famous for her work with chimpanzees.",2016-09-06,Dial Books,9780525428497,525428496,40,,hardcover,0,0,0,0,
Wires and Nerve: Volume 1,Marissa Meyer,Marissa,Meyer,Fantasy / Graphic Novel / YA,"Wires and Nerve, Book 1","In her first graphic novel, bestselling author Marissa Meyer extends the world of the Lunar Chronicles with a brand-new,action-packed story about Iko, the android with a heart of (mechanized) gold. When rogue packs of wolf-hybrid soldiers threaten the tenuous peace alliance between Earth and Luna, Iko takes it upon herself to hunt down the soldiers' leader. She is soon working with a handsome royal guard who forces her to question everything she knows about love, loyalty, and her own humanity. With appearances by Cinder, Cress, Scarlet, Winter, and the rest of the Rampion crew, this is a must-have for fans of the bestselling series.",2017-01-31,Feiwel & Friends,9781250078261,1250078261,240,FIC MEY,,0,0,0,0,
Cinder,Marissa Meyer,Marissa,Meyer,Fantasy / Science Fiction / YA,"The Lunar Chronicles, Book 1","Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg.
She’s a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister’s illness. But when her life becomes intertwined with the handsome Prince Kai’s, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world’s future.",2020-02-04,Square Fish,9781250768889,1250768888,448,FIC MEY,paperback,0,0,0,0,
Cress,Marissa Meyer,Marissa,Meyer,Fantasy / Science Fiction / YA,"The Lunar Chronicles, Book 3","In this third book in Marissa Meyer's bestselling Lunar Chronicles series, Cinder and Captain Thorne are fugitives on the run, now with Scarlet and Wolf in tow. Together, they're plotting to overthrow Queen Levana and prevent her army from invading Earth.Their best hope lies with Cress, a girl trapped on a satellite since childhood who's only ever had her netscreens as company. All that screen time has made Cress an excellent hacker. Unfortunately, she's being forced to work for Queen Levana, and she's just received orders to track down Cinder and her handsome accomplice. When a daring rescue of Cress goes awry, the group is splintered. Cress finally has her freedom, but it comes at a higher price than she'd ever expected. Meanwhile, Queen Levana will let nothing prevent her marriage to Emperor Kai, especially the cyborg mechanic. Cress, Scarlet, and Cinder may not have signed up to save the world, but they may be the only hope the world has.",2014-02-04,Feiwel & Friends,9780312642976,312642970,560,FIC MEY,hardcover,0,0,0?,0,
Godslayers,Zoe Hana Mikuta,Zoe,Mikuta,,,"Godslayers--Zoe Hana Mikuta's high-octane sequel to Gearbreakers--is perfect for fans of Pacific Rim, Pierce Brown's Red Rising Saga, and Marie Lu's Legend series. The only way to kill a god is from the inside... The Gearbreakers struck a devastating blow against Godolia on Heavensday, but the cost of victory has been steep. Months later, the few rebels who've managed to escape the tyrannical empire's bloody retribution have fled to the mountains, hunted by the last Zenith--Godolia's only surviving leader. Eris has been held prisoner since the attack on the capital city, which almost killed her. And she begins to wish it had when she discovers Sona--the girl she loves, the girl she would tear down cities for--also survived, only to be captured and corrupted by the Zenith. The cybernetic brainwashing that Sona has forcibly undergone now has her believing herself a loyal soldier for Godolia, and Eris' mortal enemy. With the rebellion shattered and Godolia moving forward with an insidious plan to begin inducting Badlands children into a new Windup Pilot program, the odds have never been more stacked against the Gearbreakers. Their last hope for victory will depend on whether Eris and Sona can somehow find their way back to each other from opposite sides of a war... Praise for Gearbreakers: A Junior Library Guild Selection ""An absolute joyride ... Zoe Hana Mikuta is a talent to be in awe of."" --Chloe Gong, New York Times-bestselling author of These Violent Delights ""Dark, fierce, thrilling, and tender, Gearbreakers will make your blood sing. ... An electric heart beats on every page of this breathlessly paced cyberpunk adventure."" --Nina Varela, author of Crier's War",2023-06-27,Square Fish,9781250878908,125087890X,416,,paperback,0,0,1,0,
Gearbreakers,Zoe Hana Mikuta,Zoe,Mikuta,,,"The shadow of Godolia's tyrannical rule is spreading, aided by their giant mechanized weapons known as Windups. War and oppression is an everyday constant for the people of the Badlands.Eris Shindanai is a Gearbreaker, a brash young rebel who specializes in taking down Windups from the inside. When one of her missions goes awry and she finds herself in a Godolian prison, Eris meets Sona Steelcrest, a cybernetically enhanced Windup pilot. At first Eris sees Sona as her mortal enemy, but Sona has a secret: She has intentionally infiltrated the Windup program to destroy Godolia from within.As the clock ticks down to their deadliest mission yet, Eris and Sona grow closer--as comrades, friends, and perhaps something more . . .",2022-06-28,Square Fish,9781250833259,1250833256,432,,paperback,0,0,0,0,
Positively Pooh: Timeless Wisdom from Pooh,A. A. Milne,A.,Milne,,,"Featuring favorite quotes from the original texts and E. H. Shepard&#039;s incomparable illustrations, this book offers wisdom for everyone--wisdom that our chum Pooh has gained himself, usually the hard way. With chapters entitled &quot;For Your Inner Bear,&quot; &quot;For Those Bothersome Days,&quot; &quot;For When You&#039;re in a Tight Spot,&quot; and &quot;For Those Hummy Sort of Days,&quot; Positively Pooh is the perfect means to inspire smiles and offer encouragement. This well-appointed volume will charm collectors, friends in need of a pick-me-up, and new graduates who may well have to rely on the wisdom of Winnie-the-Pooh.  &nbsp;",2008-03-27,Dutton Juvenile,9780525479314,525479317,120,,hardcover,0,0,0,0,
The House at Pooh Corner: Classic Gift Edition (Winnie-the-Pooh),A. A. Milne,A.,Milne,,,"Following the instant success of the first edition replica of Winnie-the-Pooh, this gorgeous collectible edition of The House At Pooh Corner completes the set of A. A. Milne's beloved books about Winnie-the-Pooh and friends.For over ninety years, Winnie-the-Pooh and his friends--Piglet, Owl, Tigger, and the ever doleful Eeyore--have endured as the unforgettable creations of A. A. Milne, who wrote this book for his son, Christopher Robin, and Ernest H. Shepard, who lovingly gave Pooh and his companions shape through his illustrations. Now fans can continue to celebrate the legacy of Pooh with a beautiful new gift edition. Crafted as a replica of the first American edition of The House At Pooh Corner, published in 1928 by E. P. Dutton, this elegant edition features a textured case, gold foil stamping, and illustrated endpapers. It is the ideal gift for both new readers and passionate collectors and is the perfect companion to the Classic Gift Edition of Winnie-the-Pooh.",2018-10-16,Dutton Books for Young Readers,9780525555544,525555544,192,,hardcover,0,0,0,0,
Rum Curious: The Indispensable Tasting Guide to the World's Spirit,Fred Minnick,Fred,Minnick,,,"Once the drink of sailors and swashbuckling pirates, rum is the most versatile -- and the most varied -- spirit in the world. It is consumed neat as a sipping drink, on the rocks, and in a dizzying variety of cocktails like the mai tai, mojito, and pina colada. In Rum Curious, author Fred Minnick first takes the reader on a whirlwind tour of the world of rum, describing its many styles; explaining the great variety of fermenting, distilling, and maturing processes; and highlighting distillers and distilleries. He then teaches the reader about tasting rum -- revealing the experience offered by brands ranging from the familiar to the unusual and obscure. A final section provides recipes for classic and innovative rum cocktails from around the world. Rum Curious is the one book the reader will need to understand and appreciate rum in all its glorious variety.",2017-06-01,Voyageur Press,9780760351734,760351732,240,,hardcover,0,0,1,0,
Wicked The Musical: A Pop-Up Compendium of Splendiferous Delight and Thrillifying Intrigue,"Kees Moerbeek, Jami Attenberg",Kees,Moerbeek,,,"From Melcher Media, the team that brought you Wicked: The Grimmerie, comes Wicked: A Pop-Up Compendium of Splendiferous Delight and Thrillifying Intrigue, featuring the most arresting and memorable moments from the hit Broadway musical in moveable paper tableaux. From Glinda&#039;s dramatical entrance among the Ozians in her bubble machine to Elphaba&#039;s gravity-defying maiden flight, each spread puts you in the center of the action. Plus, discover secret artifacts (and artifictions) that you won&#039;t find anywhere else: the letters Galinda and Elphaba wrote to their parents, a map of the Emerald City, the Shiz University student newspaper, and a miniature Grimmerie complete with spells.",2009-09-21,Melcher Media,9781595910547,1595910549,24,,hardcover,0,1,1,0,
Gideon the Ninth,Tamsyn Muir,Tamsyn,Muir,,,"A USA Today Best-Selling Novel, and one of the Best Books of 2019 according to NPR, the New York Public Library, Amazon, BookPage, Shelf Awareness, BookRiot, and Bustle! “Unlike anything I’ve ever read. ” —V.E. Schwab “Lesbian necromancers explore a haunted gothic palace in space!” —Charles Stross “Deft, tense and atmospheric, compellingly immersive and wildly original.” —The New York Times The Emperor needs necromancers. The Ninth Necromancer needs a swordswoman. Gideon has a sword, some dirty magazines, and no more time for undead nonsense. Tamsyn Muir’s Gideon the Ninth unveils a solar system of swordplay, cut-throat politics, and lesbian necromancers. Her characters leap off the page, as skillfully animated as arcane revenants. The result is a heart-pounding epic science fantasy. Brought up by unfriendly, ossifying nuns, ancient retainers, and countless skeletons, Gideon is ready to abandon a life of servitude and an afterlife as a reanimated corpse. She packs up her sword, her shoes, and her dirty magazines, and prepares to launch her daring escape. But her childhood nemesis won’t set her free without a service. Harrowhark Nonagesimus, Reverend Daughter of the Ninth House and bone witch extraordinaire, has been summoned into action. The Emperor has invited the heirs to each of his loyal Houses to a deadly trial of wits and skill. If Harrowhark succeeds she will be become an immortal, all-powerful servant of the Resurrection, but no necromancer can ascend without their cavalier. Without Gideon’s sword, Harrow will fail, and the Ninth House will die. Of course, some things are better left dead. THE LOCKED TOMB TRILOGY BOOK 1: Gideon the Ninth BOOK 2: Harrow the Ninth BOOK 3: Alecto the Ninth",2020-05-19,Tor.com,9781250313188,125031318X,464,,paperback,0,0,0,0,
Heroes' Feast (Dungeons and Dragons),"Kyle Newman, Jon Peterson, Michael Witwer, Official Dungeons & Dragons Licensed",Kyle,Newman,,,"From the D&amp;D experts behind Dungeons &amp; Dragons Art &amp; Arcana comes a cookbook that invites fantasy lovers to learn about their favorite fictional cultures through their unique cuisines and lifestyles. With this book, you can prepare dishes delicate enough to dine like elves and their drow cousins or hearty enough to feast like a dwarven clan or a boisterous orcish horde. All eighty dishes are delicious, easy to prepare, and composed of wholesome ingredients readily found in our world. Heroes' Feast includes recipes for snacking, such as Bytopian Shepherd's Bread, Iron Rations, savory Hand Pies, and Hogs in Bedrolls, as well as hearty vegetarian, meaty, and fish mains, such as Amphail Braised Beef, Hommlet Golden Brown Roasted Turkey, Drow Mushroom Steaks, and Moonshae Seafood Risotto. There are also featured desserts and cocktails--like Heartlands Roseapple &amp; Blackberry Pie, Yawning Portal Biscuit, and Chultan Zombie--and everything in between, to satisfy a craving for any adventure.",2020-10-27,Potter/Ten Speed/Harmony/Rodale,9781984858900,1984858904,240,,hardcover,0,0,1,0,
Classic Coloring: Jane Austen (Adult Coloring Book): 55 Removable Coloring Plates,Abrams Noterie,Abrams,Noterie,,,"Iconic scenes and witticisms from Pride and Prejudice, Emma, Sense and Sensibility, and Jane Austen’s other writings come to life in this intricately illustrated coloring book. It contains 55 line drawings printed on single-sided, heavy paper stock that is suitable for colored pencils, watercolors, and markers. Teacups, lace, ball gowns, and fans mingle with hand-lettered renderings of Austen’s wise and often deliciously sarcastic quotes. Each page is a removable work of art that can be colored in and displayed in a standard-size frame, perfect for adorning the walls and shelves of any Austen fan. The Classic Coloring collection includes:Classic Coloring: Alice in Wonderland – ISBN 9781419722066Classic Coloring: Jane Austen – ISBN 9781419721496",2016-06-14,Harry N. Abrams,9781419721496,1419721496,112,,hardcover,0,0,0,0,
Doctor Who: Whographica: An Infographic Guide to Space and Time,"Steve O'Brien, Simon Guerrier, Ben Morris",Steve,O'Brien,,,"Explore the rich history of Doctor Who like never before, through colorful and creative visualizations and infographics in this captivating, intriguing, beautiful, and strange compendium.The Doctor’s family tree, the strangest weapons in the whole universe, the frequency of the letter ""A"" in the names of companions—these curiosities, and many others, are explored in detail, complete with visually-stunning infographics in Doctor Who: Whographica. Each double-page spread presents a fascinating, visual insight into a particular aspect of Doctor Who. Divided into twelve sections—The Doctor, Earth, Daleks, the TARDIS, Friends and Companions, Alien Worlds and more—Whographica features double-page spreads which offer fascinating, visual insight into a particular aspect of the show.With interesting and fascinating information, Whographica is a perfect introduction to the extraordinary universe of the series, and an engaging sourcebook that will delight long-term aficionados, presenting the history of Doctor Who in an entirely new and enthralling way.",2016-11-22,Harper Design,9780062470225,62470221,224,,paperback,0,0,0,0,
The Black Pearl,Scott O' Dell,Scott,O'Dell,,,,,,,,,,paperback,0,0,0,0,
Ancient Egypt,Lorna Oakes and Lucia Gahlin,Lorna,Oakes,,,,,,,,,,paperback,0,0,0,0,
Dining With The Doctor: The Unauthorized Whovian Cookbook,Chris-Rachael Oseland,Chris-Rachael,Oseland,,,"Hello, sweetie. Your taste buds are about to take a wibbly wobbly, timey wimey adventure through the Doctor Who reboot. Megafan and food writer Chris-Rachael Oseland spent a year rewatching all of series one through six and experimenting in her kitchen to bring you a fresh recipe for every single episode. This book is a treat for any Whovian who wants to offer more than a plate of fish fingers and a bowl of custard at your next viewing party. Want to host an elegant dinner party to show off your new Tardis corset? Start the evening with a Two Streams Garden Cocktail followed by Baked Hath, Marble Cucumber Circuits with Vesuvian Fire Dipping Sauce, Professor Yana&acirc;",2012-12-06,CreateSpace Independent Publishing Platform,9781481153683,1481153684,102,,paperback,0,0,1,0,
"Inheritance (Inheritance Cycle, Book 4)",Christopher Paolini,Christopher,Paolini,,,"Not so very long ago, Eragon&mdash;Shadeslayer, Dragon Rider&mdash;was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now the fate of an entire civilization rests on their shoulders.Long months of training and battle have brought victories and hope, but they have also brought heartbreaking loss. And still, the real battle lies ahead: they must confront Galbatorix. When they do, they will have to be strong enough to defeat him. And if they cannot, no one can. There will be no second chances. The Rider and his dragon have come further than anyone dared to hope. But can they topple the evil king and restore justice to Alaga&euml;sia? And if so, at what cost?This is the much-anticipated, astonishing conclusion to the worldwide bestselling Inheritance cycle.Sneak Peek at Chapter Titles from InheritanceMooneaterTo Feed a GodBlack-Shrike-Thorn-CaveA Crown of Ice and SnowA Cradle SongDancing with SwordsA Sea of NettlesNo Honor, No Glory, Only Blisters in Unfortunate PlacesThe Hall of the SoothsayerBurrow Grubs",2011-11-08,Knopf Books for Young Readers,9780375856112,375856110,880,,hardcover,0,0,1,0,
"Brisingr (Inheritance, Book 3) (The Inheritance Cycle)",Christopher Paolini,Christopher,Paolini,,,"OATHS SWORN . . . loyalties tested . . . forces collide.Following the colossal battle against the Empire&rsquo;s warriors on the Burning Plains, Eragon and his dragon, Saphira, have narrowly escaped with their lives. Still there is more at hand for the Rider and his dragon, as Eragon finds himself bound by a tangle of promises he may not be able to keep.First is Eragon&rsquo;s oath to his cousin Roran: to help rescue Roran&rsquo;s beloved, Katrina, from King Galbatorix&rsquo;s clutches. But Eragon owes his loyalty to others, too. The Varden are in desperate need of his talents and strength&mdash;as are the elves and dwarves. When unrest claims the rebels and danger strikes from every corner, Eragon must make choices&mdash; choices that take him across the Empire and beyond, choices that may lead to unimagined sacrifice.Eragon is the greatest hope to rid the land of tyranny. Can this once-simple farm boy unite the rebel forces and defeat the king?",2008-09-20,Alfred A. Knopf,9780375826726,375826726,763,,hardcover,0,0,1,0,
Peter and the Starcatchers,"Ridley Pearson, Dave Barry",Ridley,Pearson,,,"Don&#039;t even think of starting this book unless you&#039;re sitting in a comfortable chair and have lots of time. A fast-paced, impossible-to-put-down adventure awaits as the young orphan Peter and his mates are dispatched to an island ruled by the evil King Zarboff. They set sail aboard the Never Land, a ship carrying a precious and mysterious trunk in its cargo hold-and the journey quickly becomes fraught with excitement and danger. Discover richly developed characters in the sweet but sophisticated Molly, the scary but familiar Black Stache, and the fearless Peter. Treacherous battles with pirates, foreboding thunderstorms at sea, and evocative writing immerse the reader in a story that slowly and finally reveals the secrets and mysteries of the beloved Peter Pan.",2004-09-01,Disney Editions,9780786854455,786854456,464,,hardcover,0,0,1,0,
"Trickster's Choice (Daughter of the Lioness, Book 1)",Tamora Pierce,Tamora,Pierce,,,"Tamora Pierce brings readers another Tortall adventure! Alianne is the teenage daughter of the famed Alanna, the first lady knight in Tortall. Young Aly follows in the quieter footsteps of her father, however, delighting in the art of spying. When she is captured and sold as a slave to an exiled royal family in the faraway Copper Islands, it is this skill that makes a difference in a world filled with political intrigue, murderous conspiracy, and warring gods. This is the first of two books featuring Alianne.From the Hardcover edition.",2003-01-01,Random House Books for Young Readers,9780375828799,375828796,448,,paperback,0,0,1,0,
Sandry's Book,Tamora Pierce,Tamora,Pierce,,"Circle of Magic, Book 1",,,,,,,,paperback,0,0,1,0,
Tris's Book,Tamora Pierce,Tamora,Pierce,,"Circle of Magic, Book 2",,,,,,,,paperback,0,0,0,0,
Daja's Book,Tamora Pierce,Tamora,Pierce,,"Circle of Magic, Book 3",,,,,,,,paperback,0,0,0,0,
Briar's Book,Tamora Pierce,Tamora,Pierce,,"Circle of Magic, Book 4",,,,,,,,paperback,0,0,0,0,
Magic Steps,Tamora Pierce,Tamora,Pierce,,"The Circle Opens Quartet, Book 1",,,,,,,,paperback,0,0,0,0,
Street Magic,Tamora Pierce,Tamora,Pierce,,"The Circle Opens Quartet, Book 2",,,,,,,,paperback,0,0,0,0,
Cold Fire,Tamora Pierce,Tamora,Pierce,,"The Circle Opens Quartet, Book 3",,,,,,,,paperback,0,0,0,0,
Shatterglass,Tamora Pierce,Tamora,Pierce,,"The Circle Opens Quartet, Book 4",,,,,,,,paperback,0,0,0,0,
The Anubis Gates,Tim Powers,Tim,Powers,,,,,,,,,,paperback,0,0,0,0,
"Strange Planet: the Sneaking, Hiding, Vibrating Creature",Nathan W. Pyle (Illustrator),Nathan,Pyle,,,"Nathan W. Pyle's first picture book in his New York Times bestselling Strange Planet series! Based on his popular Instagram comics, Nathan W. Pyle presents a delightful, heartfelt, and clever picture book that young and old beings alike will enjoy reading together. When the nearest star rises, Lifegiver has an exciting quest planned for Offspring! Follow along as they observe a strange creature that sneaks, hides, and vibrates around their house. Hilarity ensues as the blue beings try to mimic this talented creature. As always, Nathan W. Pyle draws humor from his unique perspective on human activity and delivers a colorful experience that is an ode to cats and humans alike. This book is a joy to read and share, no matter how many revolutions you've made around the nearest star.",2021-06-01,HarperCollins Publishers,9780063049741,63049740,36,,hardcover,0,0,1,0,
Binging with Babish,"Andrew Rea, Jon Favreau (Foreword by)",Andrew,Rea,,,"The book that 5 million fans of Binging with Babish on YouTube have been waiting for! The internet cooking showBinging with Babish has taken YouTube by storm with views as high as 12 million per episode. For each video, Andrew Rea, a self-proclaimed movie and TV buff, teaches a recipe based on a favorite TV show or film, such as the babka from the classicSeinfeld episode, the beef bourguignon fromJulie &amp; Julia, or the timpano fromBig Night. This cookbook includes these and other fan-favorite recipes. Some are so delicious that you'll want to make them for dinner right away, like Bubba's shrimp fromForrest Gump, while others can be saved for impressing a loved one--like the chocolate lava cake from Jon Favreau'sChef, which the actor/director (who also wrote the foreword) asked to make during a guest appearance on Rea's show. Complete with behind-the-scenes stories and never-seen-before photos, as well as answers to frequently asked fan questions,Binging with Babish is a must-have companion to the wildly popular YouTube show.",2019-10-22,Houghton Mifflin Harcourt Publishing Company,9781328589897,1328589897,336,,hardcover,0,0,1,0,
The Geeky Chef Cookbook,Cassandra Reeder,Cassandra,Reeder,,,"You’ve watched the TV shows and movies, played the video games, and read the books. Now it’s time to level-up your geek factor…into the kitchen. From Game of Thrones, The Hunger Games, and Star Trek to Doctor Who, The Legend of Zelda, and World of Warcraft, The Geeky Chef compiles over 60 delectable, ethereal, and just plain odd—yet oddly delicious—recipes that you can re-create right in your own home. This smaller hardcover version of the original book has a new, fresh, modern design and includes 10 additional recipes from The Geeky Chef Strikes Back, making it the perfect gift for the geek in your life. A self-proclaimed nerd with a fondness for cooking, author Cassandra Reeder, creator of The Geeky Chef blog, has thoroughly researched every dish to make the final product look and taste as close to the source material as possible. With easy-to-follow step-by-step instructions and fun themed photos, these simple recipes will soon have you unlocking achievements in the kitchen, no matter if you’re cooking for yourself, a friend, or even a viewing party. So if you’ve ever found yourself thirsting for Lon Lon Milk, drooling over Pumpkin Pasties, or being a tad bit curious about Cram, this cookbook is for you. Fantasy foods are fantasy no longer!",2020-04-14,Race Point Publishing,9781631067105,1631067109,160,,hardcover,0,0,1,0,
The Geeky Bartender Drinks,Cassandra Reeder,Cassandra,Reeder,,,"Featuring nerdy recipes for both alcoholic and non-alcoholic beverages, The Geeky Chef Drinks is your chance to sip your way through your favorite sci-fi and fantasy worlds - Game of Thrones, Legend of Zelda, Star Trek, and more.",2020-05-05,Quarto Publishing Group USA,9781631067099,1631067095,160,,hardcover,0,0,0,0,
Pirates!,Celia Rees,Celia,Rees,,,"Thrown together by chance, ambitious for adventure by nature, Minerva Sharpe and Nancy Kington defy the expectations of everyone around them and take to the high seas on the pirate ship Deliverance. A thrilling journey across the world from the best-selling author of Witch Child, Celia Rees.",2004-01-01,"Scholastic, Inc.",9780439671590,439671590,376,,hardcover,0,0,0,0,
